Type,Coverage,OdName,AREA,AreaName,REG,RegName,DEV,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Immigrants,Foreigners,Myanmar,935,Asia,920,South-Eastern Asia,902,Developing regions,80,62,46,31,41,23,18,33,55,77,133,104,62,100,172,199,229,205,68,98,121,113,164,263,191,210,953,1887,975,1153,556,368,193,262
Immigrants,Foreigners,Namibia,903,Africa,913,Southern Africa,902,Developing regions,0,5,5,3,2,1,1,4,3,2,2,4,0,5,0,9,2,0,0,4,9,9,10,7,9,6,19,13,26,14,16,23,24,83
Immigrants,Foreigners,Nauru,909,Oceania,954,Micronesia,902,Developing regions,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2,4,1,1,1,0,0,1,0,0,0,1
Immigrants,Foreigners,Nepal,935,Asia,5501,Southern Asia,902,Developing regions,1,1,6,1,2,4,13,6,13,4,23,29,32,40,31,66,132,155,104,157,236,272,363,313,404,607,540,511,581,561,1392,1129,1185,1308
Immigrants,Foreigners,Netherlands,908,Europe,926,Western Europe,901,Developed regions,1889,1858,1852,716,560,510,539,647,832,825,637,614,609,637,532,596,994,712,653,873,838,806,676,617,749,813,837,615,818,786,759,586,504,395
Immigrants,Foreigners,New Caledonia,909,Oceania,928,Melanesia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2
Immigrants,Foreigners,New Zealand,909,Oceania,927,Australia and New Zealand,901,Developed regions,602,480,364,140,164,148,176,208,200,237,270,227,341,352,234,210,219,181,146,164,212,360,321,345,350,370,318,350,480,520,490,375,417,415
Immigrants,Foreigners,Nicaragua,904,Latin America and the Caribbean,916,Central America,902,Developing regions,18,21,27,55,126,468,670,1073,969,705,710,1517,2062,1069,261,251,248,195,124,144,140,108,69,88,67,79,96,76,124,116,94,123,106,96
Immigrants,Foreigners,Niger,903,Africa,914,Western Africa,902,Developing regions,0,0,1,1,0,0,0,4,0,1,1,7,7,4,2,13,7,14,12,19,20,23,30,30,38,59,57,75,75,82,80,90,95,105
Immigrants,Foreigners,Nigeria,903,Africa,914,Western Africa,902,Developing regions,81,60,58,58,78,78,114,149,122,195,181,281,498,428,323,430,531,657,757,966,1182,1426,1403,1064,1518,2236,2594,2375,2109,3156,3906,3103,3443,4172
Immigrants,Foreigners,Norway,908,Europe,924,Northern Europe,901,Developed regions,116,77,106,51,31,54,56,80,73,76,83,103,74,92,60,65,70,104,31,36,56,78,74,77,73,57,53,73,66,75,46,49,53,59
Immigrants,Foreigners,Oman,935,Asia,922,Western Asia,902,Developing regions,0,0,0,8,0,0,0,3,0,1,5,0,5,1,12,11,2,7,4,3,7,12,7,11,12,14,18,16,10,7,14,10,13,11
Immigrants,Foreigners,Pakistan,935,Asia,5501,Southern Asia,902,Developing regions,978,972,1201,900,668,514,691,1072,1334,2261,2470,3079,4071,4777,4666,4994,9125,13073,9068,9979,15400,16708,15110,13205,13399,14314,13127,10124,8994,7217,6811,7468,11227,12603
Immigrants,Foreigners,Palau,909,Oceania,954,Micronesia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigrants,Foreigners,Panama,904,Latin America and the Caribbean,916,Central America,902,Developing regions,13,8,14,10,11,17,16,26,21,108,116,658,611,420,103,63,73,70,37,22,45,50,48,54,38,57,73,63,52,73,65,49,34,43
Immigrants,Foreigners,Papua New Guinea,909,Oceania,928,Melanesia,902,Developing regions,0,2,2,4,2,2,1,1,3,0,1,2,4,0,5,1,2,0,0,1,4,2,0,4,1,1,0,0,9,1,3,0,3,3
Immigrants,Foreigners,Paraguay,904,Latin America and the Caribbean,931,South America,902,Developing regions,45,26,32,40,48,36,34,72,53,48,56,51,94,75,46,39,38,30,25,34,29,34,60,88,74,75,88,98,95,88,89,83,55,66
Immigrants,Foreigners,Peru,904,Latin America and the Caribbean,931,South America,902,Developing regions,317,456,401,241,306,328,628,843,1237,1667,1384,1522,1632,1274,993,827,845,676,493,560,603,849,855,1023,1460,1653,1473,1490,1094,1884,1283,886,787,682
Immigrants,Foreigners,Philippines,935,Asia,920,South-Eastern Asia,902,Developing regions,6051,5921,5249,4562,3801,3150,4166,7360,8639,11865,12509,12718,13670,20479,19532,15864,13692,11549,8735,9734,10763,13836,11707,12758,14004,18139,18400,19837,24887,28573,38617,36765,34315,29544
Immigrants,Foreigners,Poland,908,Europe,923,Eastern Europe,901,Developed regions,863,2930,5881,4546,3588,2819,4808,6931,9211,16025,17040,16028,12145,6960,3550,2405,2136,1758,1488,1354,1471,1601,1447,1394,1533,1405,1263,1235,1267,1013,795,720,779,852
Immigrants,Foreigners,Portugal,908,Europe,925,Southern Europe,901,Developed regions,4473,3486,2432,1433,1398,1451,2617,7684,6888,8570,8452,6286,3328,2347,1599,1405,1237,1167,625,458,469,531,364,329,336,338,424,405,665,623,629,528,560,630
Immigrants,Foreigners,Qatar,935,Asia,922,Western Asia,902,Developing regions,0,0,0,0,0,0,1,0,1,0,2,6,5,3,2,4,4,7,3,7,4,21,4,4,5,11,2,5,9,6,18,3,14,6
Immigrants,Foreigners,Republic of Korea,935,Asia,906,Eastern Asia,902,Developing regions,1011,1456,1572,1081,847,962,1208,2338,2805,2979,2087,2598,3790,3819,3005,3501,3250,4093,4938,7108,7618,9619,7342,7117,5352,5832,6215,5920,7294,5874,5537,4588,5316,4509
Immigrants,Foreigners,Republic of Moldova,908,Europe,923,Eastern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,20,70,225,273,230,294,216,199,288,513,612,592,628,655,803,1099,1127,1535,1988,1367,1416,1231
Immigrants,Foreigners,Romania,908,Europe,923,Eastern Europe,901,Developed regions,375,438,583,543,524,604,656,1202,1106,1582,2252,2337,3147,3676,3495,4279,3909,3993,3033,3538,4539,5652,5765,5541,5755,5048,4468,3834,2837,2076,1922,1776,1588,1512
Immigrants,Foreigners,Russian Federation,908,Europe,923,Eastern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,172,906,1327,1819,2640,3708,4388,4053,3843,4351,3941,3718,3989,3972,3117,2983,2690,2931,2288,1963,2079,2466
Immigrants,Foreigners,Rwanda,903,Africa,910,Eastern Africa,902,Developing regions,6,6,8,4,3,0,9,3,12,11,16,18,53,68,73,159,227,144,192,410,383,286,215,290,299,378,360,420,358,415,396,492,562,415
Immigrants,Foreigners,Saint Kitts and Nevis,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,5,3,0,16,21,17,36,43,39,45,32,31,52,29,20,20,18,22,12,9,11,11,8,12,8,11,3,10,25,11,22,12,21,18
Immigrants,Foreigners,Saint Lucia,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,69,89,133,69,68,80,95,92,77,76,95,126,120,142,76,100,111,84,57,83,94,116,82,89,110,185,190,255,298,257,249,261,382,392
Immigrants,Foreigners,Saint Vincent and the Grenadines,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,147,190,202,154,158,182,209,216,133,133,179,288,290,370,187,243,256,272,193,209,279,288,240,199,294,343,383,579,434,511,434,451,523,538
Immigrants,Foreigners,Samoa,909,Oceania,957,Polynesia,902,Developing regions,3,7,4,1,3,0,3,0,1,1,2,3,1,5,3,2,2,3,4,0,1,2,2,3,3,2,0,1,4,2,5,3,2,0
Immigrants,Foreigners,San Marino,908,Europe,925,Southern Europe,901,Developed regions,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Immigrants,Foreigners,Sao Tome and Principe,903,Africa,911,Middle Africa,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,1,0,0,1,2,0,0,1
Immigrants,Foreigners,Saudi Arabia,935,Asia,922,Western Asia,902,Developing regions,0,0,1,4,1,2,5,7,29,41,22,47,71,55,43,40,84,78,71,74,89,98,71,70,128,198,252,188,249,246,330,278,286,267
Immigrants,Foreigners,Senegal,903,Africa,914,Western Africa,902,Developing regions,13,10,9,11,7,11,16,19,17,22,38,71,80,77,49,67,122,82,107,116,121,129,165,171,210,278,416,433,555,668,765,740,949,818
Immigrants,Foreigners,Serbia,908,Europe,925,Southern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,259,365,271,299,395,297
Immigrants,Foreigners,Seychelles,903,Africa,910,Eastern Africa,902,Developing regions,5,15,3,4,1,8,13,24,19,25,78,233,369,191,34,19,27,12,18,17,15,9,4,13,15,25,8,9,18,4,10,10,6,5
Immigrants,Foreigners,Sierra Leone,903,Africa,914,Western Africa,902,Developing regions,6,6,7,3,12,10,13,57,26,18,12,41,59,24,36,48,63,83,53,42,308,386,412,391,347,191,138,92,103,70,63,96,72,63
Immigrants,Foreigners,Singapore,935,Asia,920,South-Eastern Asia,902,Developing regions,241,301,337,169,128,139,205,372,808,1269,843,657,492,474,375,407,409,287,231,437,444,473,588,391,311,392,298,690,734,366,805,219,146,141
Immigrants,Foreigners,Slovakia,908,Europe,923,Eastern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,0,1,0,113,103,143,232,236,289,500,460,585,615,501,597,369,241,215,125,128,135,134,136,105
Immigrants,Foreigners,Slovenia,908,Europe,925,Southern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,5,46,47,22,41,26,15,35,24,22,16,18,17,23,11,29,18,27,12,13,36,20
Immigrants,Foreigners,Somalia,903,Africa,910,Eastern Africa,902,Developing regions,7,10,7,12,14,10,37,190,217,401,1059,3266,5794,3734,1576,2000,1541,1084,1397,1652,1568,1155,730,957,1364,1198,1061,1166,1015,1214,1528,1535,1582,2028
Immigrants,Foreigners,South Africa,903,Africa,913,Southern Africa,902,Developing regions,1026,1118,781,379,271,310,718,1470,1305,1301,902,823,1059,1549,2366,1455,1308,1729,1350,1478,1763,1899,1498,1245,1175,988,1111,1200,1123,1188,1238,959,1243,1240
Immigrants,Foreigners,Spain,908,Europe,925,Southern Europe,901,Developed regions,211,299,260,133,137,98,121,176,137,168,122,165,130,160,84,78,105,88,87,81,93,79,87,89,133,126,124,137,169,195,174,179,262,331
Immigrants,Foreigners,Sri Lanka,935,Asia,5501,Southern Asia,902,Developing regions,185,371,290,197,1086,845,1838,4447,2779,2758,3525,7266,13102,9563,7150,9368,6484,5415,3566,4982,6081,5861,5279,4892,4495,4930,4714,4123,4756,4547,4422,3309,3338,2394
Immigrants,Foreigners,State of Palestine,935,Asia,922,Western Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,146,180,238,343,266,323,376,453,627,441,481,400,654,555,533,462
Immigrants,Foreigners,Sudan,903,Africa,912,Northern Africa,902,Developing regions,20,12,11,7,23,32,57,43,54,98,151,230,510,432,361,492,714,832,639,589,914,1105,1489,1862,1823,1310,1039,683,622,422,612,531,444,343
Immigrants,Foreigners,Suriname,904,Latin America and the Caribbean,931,South America,902,Developing regions,15,10,21,12,5,16,7,46,16,24,26,13,53,51,32,58,51,35,22,11,16,22,22,22,17,15,16,20,9,12,13,11,16,4
Immigrants,Foreigners,Swaziland,903,Africa,913,Southern Africa,902,Developing regions,4,1,1,0,10,7,1,2,7,3,4,1,4,2,3,5,2,4,3,4,2,2,1,0,8,7,7,5,6,10,3,13,17,39
Immigrants,Foreigners,Sweden,908,Europe,924,Northern Europe,901,Developed regions,281,308,222,176,128,158,187,198,171,182,130,167,179,203,192,176,161,151,123,170,138,184,149,161,129,205,139,193,165,167,159,134,140,140
Immigrants,Foreigners,Switzerland,908,Europe,926,Western Europe,901,Developed regions,806,811,634,370,326,314,294,565,508,523,505,602,666,728,475,687,823,666,510,536,471,383,276,346,337,270,258,308,357,328,285,266,243,201
Immigrants,Foreigners,Syrian Arab Republic,935,Asia,922,Western Asia,902,Developing regions,315,419,409,269,264,385,493,927,864,1454,1791,1596,1172,1247,965,1053,942,859,892,823,924,1067,956,1085,1116,1458,1145,1056,919,917,1039,1005,650,1009
Immigrants,Foreigners,Tajikistan,935,Asia,5500,Central Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,11,4,4,5,20,9,7,14,85,46,44,15,50,52,47,34,39
Immigrants,Foreigners,Thailand,935,Asia,920,South-Eastern Asia,902,Developing regions,56,53,113,65,82,66,78,117,147,177,171,219,219,279,237,172,195,152,201,246,258,309,547,439,392,575,500,487,519,512,499,396,296,400
Immigrants,Foreigners,The former Yugoslav Republic of Macedonia,908,Europe,925,Southern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,65,225,193,138,71,106,180,237,291,353,638,443,285,256,211,191,198,188,130,126,112
Immigrants,Foreigners,Togo,903,Africa,914,Western Africa,902,Developing regions,5,5,2,3,6,5,8,23,11,14,17,23,39,38,18,49,75,52,53,52,57,94,105,106,163,157,149,235,351,400,354,261,299,316
Immigrants,Foreigners,Tonga,909,Oceania,957,Polynesia,902,Developing regions,2,4,7,1,2,5,7,0,4,9,7,4,4,5,7,9,8,8,2,6,0,6,2,5,5,2,0,1,0,5,5,2,3,5
Immigrants,Foreigners,Trinidad and Tobago,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,958,947,972,766,606,699,955,1676,2218,3054,2843,3026,4374,4246,2338,2591,2198,1748,1189,1166,899,904,928,707,730,857,794,975,1002,1134,915,588,586,427
Immigrants,Foreigners,Tunisia,903,Africa,912,Northern Africa,902,Developing regions,58,51,55,46,51,57,64,86,130,242,326,306,315,245,197,271,256,242,237,323,437,788,661,669,764,756,1065,869,950,1195,1299,1442,1503,1627
Immigrants,Foreigners,Turkey,935,Asia,922,Western Asia,902,Developing regions,481,874,706,280,338,202,257,397,346,488,767,941,1116,1316,908,732,638,679,777,806,1101,1184,1301,1338,1736,2065,1638,1463,1122,1238,1492,1257,1068,729
Immigrants,Foreigners,Turkmenistan,935,Asia,5500,Central Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,6,4,2,7,10,11,22,16,40,26,37,13,20,30,20,20,14
Immigrants,Foreigners,Tuvalu,909,Oceania,957,Polynesia,902,Developing regions,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0
Immigrants,Foreigners,Uganda,903,Africa,910,Eastern Africa,902,Developing regions,13,16,17,38,32,29,40,70,60,47,75,69,143,79,54,91,62,43,40,51,64,94,90,117,160,239,201,170,204,185,216,213,222,206
Immigrants,Foreigners,Ukraine,908,Europe,923,Eastern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,103,761,1289,1751,2684,2518,2702,2836,3351,3514,3520,2759,2431,2270,1973,2218,1937,2367,3159,2515,2265,2487
Immigrants,Foreigners,United Arab Emirates,935,Asia,922,Western Asia,902,Developing regions,0,2,2,1,2,0,5,4,1,17,7,23,27,11,13,8,33,27,25,24,27,41,37,32,41,31,42,37,33,37,86,60,54,46
Immigrants,Foreigners,United Kingdom of Great Britain and Northern Ireland,908,Europe,924,Northern Europe,901,Developed regions,22045,24796,20620,10015,10170,9564,9470,21337,27359,23795,31668,23380,34123,33720,39231,30145,29322,22965,10367,7045,8840,11728,8046,6797,7533,7258,7140,8216,8979,8876,8724,6204,6195,5827
Immigrants,Foreigners,United Republic of Tanzania,903,Africa,910,Eastern Africa,902,Developing regions,635,832,621,474,473,460,403,538,532,662,739,577,398,407,286,313,264,211,138,157,200,301,298,320,310,274,291,195,230,136,200,215,224,182
Immigrants,Foreigners,United States of America,905,Northern America,905,Northern America,901,Developed regions,9378,10030,9074,7100,6661,6543,7074,7705,6469,6790,5892,6054,6842,7435,5901,4890,5515,4753,4437,5196,5433,5604,4948,5543,6990,8394,9613,9463,10190,8995,8142,7676,7891,8501
Immigrants,Foreigners,Uruguay,904,Latin America and the Caribbean,931,South America,902,Developing regions,128,132,146,105,90,92,137,269,99,144,111,229,299,437,125,164,171,117,87,93,75,64,91,103,130,217,175,147,160,99,93,81,47,58
Immigrants,Foreigners,Uzbekistan,935,Asia,5500,Central Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,12,44,33,34,58,75,97,106,101,102,144,155,175,330,262,284,215,288,289,162,235,167
Immigrants,Foreigners,Vanuatu,909,Oceania,928,Melanesia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0
Immigrants,Foreigners,Venezuela (Bolivarian Republic of),904,Latin America and the Caribbean,931,South America,902,Developing regions,103,117,174,124,142,165,179,229,279,304,344,487,610,490,334,402,520,686,489,464,443,560,524,699,1224,1211,1192,1335,1239,1353,998,1452,1373,1022
Immigrants,Foreigners,Viet Nam,935,Asia,920,South-Eastern Asia,902,Developing regions,1191,1829,2162,3404,7583,5907,2741,1406,1411,3004,3801,5870,5416,6547,5105,3723,2462,1752,1631,1419,1803,2117,2291,1713,1816,1852,3153,2574,1784,2171,1942,1723,1731,2112
Immigrants,Foreigners,Western Sahara,903,Africa,912,Northern Africa,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigrants,Foreigners,Yemen,935,Asia,922,Western Asia,902,Developing regions,1,2,1,6,0,18,7,12,7,18,4,18,41,41,39,73,144,121,141,134,122,181,171,113,124,161,140,122,133,128,211,160,174,217
Immigrants,Foreigners,Zambia,903,Africa,910,Eastern Africa,902,Developing regions,11,17,11,7,16,9,15,23,44,68,77,69,73,46,51,41,34,72,34,51,39,78,50,46,56,91,77,71,64,60,102,69,46,59
Immigrants,Foreigners,Zimbabwe,903,Africa,910,Eastern Africa,902,Developing regions,72,114,102,44,32,29,43,68,99,187,129,94,61,72,78,58,39,44,43,49,98,110,191,669,1450,615,454,663,611,508,494,434,437,407
Immigrants,Foreigners,Unknown,999,World,999,World,999,World,44000,18078,16904,13635,14855,14368,13303,17304,22279,27118,28397,25293,33100,34589,30717,25152,25986,23151,13468,10132,10743,7993,5938,4052,3739,4785,4583,4348,4197,3402,3731,2554,1681,1484
Immigrants,Both,Total,999,World,999,World,999,World,143137,128641,121175,89185,88272,84346,99351,152075,161585,191550,216451,232802,254787,256638,224382,212864,226071,216036,174195,189950,227455,250636,229049,221349,235822,262242,251640,236753,247244,252170,280687,248748,257903,259021
